RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_RET6MOS,RQ23_CASHHOME,RQ24_INKIND,RQ25_KINDAMT,RSWGT,RP6M_IND
01,0101,001,00423,05,06,1,27,01,01,2006,1,05,512,1,500,24,1,513,20,2,,,01,2008,1,0107000,4,2,,1,0010000,000472.0055,1
01,0102,001,00423,03,03,1,27,01,05,2006,1,65,215,1,233,24,1,215,16,2,,,05,2008,1,0054000,1,2,,2,,000472.0055,1
01,0102,001,00423,04,05,1,32,01,01,2006,2,04,723,1,233,24,1,723,20,2,,,01,2008,1,0060000,1,2,,2,,000472.0055,1
01,0103,001,00424,03,03,2,30,02,05,2007,1,04,932,1,222,08,1,913,43,2,,,01,2008,1,0025000,4,1,0010000,2,,000480.4802,1
01,0104,001,00424,03,03,1,41,01,07,2006,1,05,643,1,233,24,1,826,14,2,,,07,2008,1,0014000,4,2,,2,,000401.0693,1
01,0104,001,00424,04,03,2,31,02,04,2007,1,05,023,1,222,15,1,913,48,2,,,07,2008,1,0004000,4,2,,2,,000480.4802,1
01,0105,001,00419,03,05,1,38,02,09,2007,2,05,611,1,233,25,1,931,60,2,,,10,2009,1,0050000,1,1,0050000,2,,000441.9449,1
01,0106,001,00419,02,02,2,39,01,06,2003,2,65,131,1,233,45,1,223,36,1,03,2007,,,2,,,2,,2,,000442.5584,2
01,0107,001,00437,06,03,2,44,03,03,2007,3,05,131,1,223,12,1,419,60,2,,,03,2008,1,0090000,1,2,,2,,000428.7277,1
01,0108,001,00437,02,02,2,42,02,09,2007,2,05,921,1,500,24,1,913,24,2,,,09,2009,2,,,1,0040000,1,0010000,000428.7277,1
01,0109,001,00437,02,02,2,38,01,04,2003,2,05,021,1,235,60,1,913,53,2,,,07,2008,1,0060000,1,2,,2,,000428.7277,1
01,0110,001,00437,03,03,2,30,01,02,2005,1,65,222,1,233,34,1,222,31,2,,,12,2007,1,0060000,1,2,,2,,000512.9028,1
01,0110,001,00437,04,03,2,27,01,02,2005,1,65,222,1,233,34,1,222,31,2,,,12,2007,1,0060000,1,2,,2,,000512.9028,1
01,0111,003,00439,09,03,2,27,01,11,2005,1,63,913,1,235,29,1,513,22,2,,,04,2008,1,0026400,4,2,,1,0020000,000529.4490,1
01,0112,003,00443,04,03,1,23,01,07,2007,1,04,721,1,234,24,1,721,02,2,,,07,2009,1,0015000,4,2,,2,,000440.2212,1
01,0113,003,00434,03,03,2,28,02,07,2007,1,63,421,1,234,17,1,239,29,2,,,12,2008,2,,,2,,2,,000514.8561,1
01,0114,003,00434,02,02,2,37,03,04,2007,2,65,021,1,211,24,1,913,60,2,,,04,2009,1,0035000,1,1,0120000,1,0015000,000430.3604,1
01,0115,003,00434,01,01,1,49,05,02,2007,2,65,023,1,500,10,1,215,60,2,,,12,2007,1,0060000,2,2,,2,,000398.7570,1
